t t ref_freq ref_freq electric_frequency electric_frequency hall_freq hall_freq isA isA isB isB isC isC isD isD isQ isQ VsD VsD VsQ VsQ Vs Vs Vs_cita Vs_cita Vs_cita_relative Vs_cita_relative psisD psisD psisQ psisQ psis psis psis_alpha psis_alpha psis_ref psis_ref te te Ud Ud pi_control pi_control pi_max pi_max
t 16777216.00 ref_freq 0.00 electric_frequency -0.04 hall_freq 0.00 isA -6.05 isB -6.02 isC 12.07 isD -6.05 isQ -10.44 VsD -0.86 VsQ -1.53 Vs 1.67 Vs_cita 240.91 Vs_cita_relative 240.91 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.05 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.31 hall_freq 0.00 isA -6.01 isB -5.93 isC 11.93 isD -6.01 isQ -10.31 VsD -0.82 VsQ -1.46 Vs 1.65 Vs_cita 241.82 Vs_cita_relative 241.82 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.15 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.02 hall_freq 0.00 isA -5.98 isB -5.92 isC 11.89 isD -5.98 isQ -10.28 VsD -0.81 VsQ 25.00 Vs 1.65 Vs_cita 240.48 Vs_cita_relative 240.48 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.13 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.04 hall_freq 0.00 isA -6.07 isB -5.96 isC 12.03 isD -6.07 isQ -10.39 VsD -0.85 VsQ -1.50 Vs 1.67 Vs_cita 240.64 Vs_cita_relative 240.64 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.08 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.06 hall_freq 0.00 isA -6.05 isB -5.96 isC 12.00 isD -6.05 isQ -10.37 VsD -0.85 VsQ -1.50 Vs 1.64 Vs_cita 240.81 Vs_cita_relative 240.81 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.08 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.06 hall_freq 0.00 isA -6.03 isB -5.95 isC 11.99 isD -6.03 isQ -10.36 VsD -0.85 VsQ -1.51 Vs 1.61 Vs_cita 240.90 Vs_cita_relative 240.90 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.09 pi_control 25.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.04 hall_freq 0.00 isA -5.96 isB -5.91 isC 11.87 isD -5.96 isQ -10.26 VsD -0.80 VsQ -1.42 Vs 1.66 Vs_cita 240.75 Vs_cita_relative 240.75 psisD 25.00 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.16 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.24 hall_freq 0.00 isA 25.00 isB -5.98 isC 11.99 isD 25.00 isQ 25.00 VsD -0.84 VsQ 25.00 Vs 1.66 Vs_cita 241.86 Vs_cita_relative 241.86 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.11 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.35 hall_freq 0.00 isA -6.01 isB -5.96 isC 11.97 isD -6.01 isQ -10.35 VsD -0.82 VsQ -1.47 Vs 1.64 Vs_cita 241.97 Vs_cita_relative 241.97 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.13 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.04 hall_freq 0.00 isA -5.94 isB -5.87 isC 11.81 isD -5.94 isQ -10.21 VsD -0.79 VsQ -1.41 Vs 1.65 Vs_cita 240.34 Vs_cita_relative 240.34 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.03 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.02 hall_freq 0.00 isA -5.97 isB -5.94 isC 11.91 isD -5.97 isQ -10.30 VsD -0.80 VsQ -1.43 Vs 1.65 Vs_cita 240.77 Vs_cita_relative 240.77 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te 25.00 Ud 4.16 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.27 hall_freq 0.00 isA -5.99 isB -5.96 isC 11.95 isD -5.99 isQ -10.34 VsD -0.82 VsQ -1.47 Vs 1.66 Vs_cita 241.79 Vs_cita_relative 241.79 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.15 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.24 hall_freq 0.00 isA -5.98 isB -6.00 isC 11.98 isD -5.98 isQ -10.38 VsD -0.81 VsQ -1.47 Vs 1.65 Vs_cita 242.02 Vs_cita_relative 242.02 psisD 0.01 psisQ 25.00 psis 25.00 psis_alpha 58.50 psis_ref 25.00000 te 25.00 Ud 4.11 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.06 hall_freq 0.00 isA -6.11 isB -6.04 isC 12.15 isD -6.11 isQ 25.00 VsD -0.88 VsQ -1.56 Vs 1.64 Vs_cita 240.99 Vs_cita_relative 240.99 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.05 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.08 hall_freq 0.00 isA -6.01 isB -5.91 isC 11.93 isD -6.01 isQ -10.30 VsD -0.84 VsQ -1.48 Vs 1.62 Vs_cita 240.86 Vs_cita_relative 240.86 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.10 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.10 hall_freq 0.00 isA -5.85 isB -6.04 isC 11.89 isD -5.85 isQ -10.36 VsD -0.78 VsQ -1.46 Vs 1.65 Vs_cita 241.22 Vs_cita_relative 241.22 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.04 Ud 4.12 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.10 hall_freq 0.00 isA -6.06 isB -5.97 isC 12.03 isD -6.06 isQ -10.39 VsD -0.87 VsQ -1.53 Vs 1.67 Vs_cita 240.93 Vs_cita_relative 240.93 psisD 0.01 psisQ 25.00 psis 25.00 psis_alpha 58.50 psis_ref 25.00000 te 25.00 Ud 4.06 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.02 hall_freq 0.00 isA -5.92 isB -5.81 isC 11.73 isD -5.92 isQ -10.13 VsD -0.78 VsQ -1.38 Vs 1.65 Vs_cita 25.00 Vs_cita_relative 25.00 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.06 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.17 hall_freq 0.00 isA -5.86 isB -6.05 isC 11.91 isD -5.86 isQ -10.37 VsD 25.00 VsQ -1.47 Vs 1.66 Vs_cita 240.97 Vs_cita_relative 240.97 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.04 Ud 4.11 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.16 hall_freq 0.00 isA -5.99 isB -6.04 isC 12.02 isD -5.99 isQ -10.43 VsD -0.85 VsQ -1.54 Vs 1.62 Vs_cita 240.50 Vs_cita_relative 240.50 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.04 Ud 4.06 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.02 hall_freq 0.00 isA -5.92 isB -5.87 isC 11.79 isD -5.92 isQ -10.19 VsD -0.79 VsQ -1.41 Vs 1.65 Vs_cita 240.67 Vs_cita_relative 240.67 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 25.00 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.12 hall_freq 0.00 isA -5.97 isB -6.00 isC 11.97 isD -5.97 isQ -10.37 VsD -0.84 VsQ -1.51 Vs 1.62 Vs_cita 240.62 Vs_cita_relative 240.62 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te 25.00 Ud 4.13 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.32 hall_freq 0.00 isA -6.07 isB -6.00 isC 12.07 isD -6.07 isQ -10.43 VsD -0.85 VsQ -1.50 Vs 1.65 Vs_cita 241.97 Vs_cita_relative 241.97 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.12 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.01 hall_freq 0.00 isA -5.94 isB -5.91 isC 11.85 isD -5.94 isQ -10.25 VsD -0.79 VsQ -1.42 Vs 1.65 Vs_cita 240.58 Vs_cita_relative 240.58 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.15 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.00 hall_freq 0.00 isA -5.94 isB -5.87 isC 11.81 isD -5.94 isQ -10.21 VsD -0.79 VsQ -1.41 Vs 1.65 Vs_cita 240.56 Vs_cita_relative 240.56 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.03 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.26 hall_freq 0.00 isA -6.03 isB -6.01 isC 12.04 isD -6.03 isQ -10.42 VsD -0.84 VsQ -1.50 Vs 1.64 Vs_cita 241.92 Vs_cita_relative 241.92 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.11 pi_control 25.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.09 hall_freq 0.00 isA -5.98 isB -5.96 isC 11.93 isD -5.98 isQ -10.33 VsD -0.81 VsQ -1.45 Vs 1.65 Vs_cita 241.09 Vs_cita_relative 241.09 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.12 pi_control 25.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.29 hall_freq 0.00 isA -6.09 isB -6.08 isC 12.17 isD -6.09 isQ -10.53 VsD -0.86 VsQ -1.54 Vs 1.64 Vs_cita 242.03 Vs_cita_relative 242.03 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.07 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.24 hall_freq 0.00 isA -5.99 isB -5.97 isC 11.97 isD -5.99 isQ -10.36 VsD 25.00 VsQ -1.47 Vs 1.65 Vs_cita 241.81 Vs_cita_relative 241.81 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.14 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.00 hall_freq 0.00 isA -6.13 isB -6.07 isC 12.20 isD -6.13 isQ -10.55 VsD -0.88 VsQ -1.56 Vs 1.67 Vs_cita 240.66 Vs_cita_relative 240.66 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.02 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.00 hall_freq 0.00 isA -6.04 isB -5.97 isC 12.01 isD -6.04 isQ -10.38 VsD -0.85 VsQ -1.51 Vs 1.63 Vs_cita 240.67 Vs_cita_relative 240.67 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.07 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.02 hall_freq 0.00 isA -6.09 isB -6.02 isC 12.11 isD -6.09 isQ -10.47 VsD -0.87 VsQ -1.54 Vs 1.64 Vs_cita 240.72 Vs_cita_relative 240.72 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.04 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.21 hall_freq 0.00 isA -5.88 isB 25.00 isC 12.01 isD -5.88 isQ -10.47 VsD -0.81 VsQ -1.52 Vs 1.66 Vs_cita 241.02 Vs_cita_relative 241.02 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.05 Ud 4.07 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.27 hall_freq 0.00 isA -6.07 isB -6.02 isC 12.10 isD -6.07 isQ -10.46 VsD -0.86 VsQ -1.52 Vs 1.65 Vs_cita 241.80 Vs_cita_relative 241.80 psisD 25.00 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.10 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.06 hall_freq 0.00 isA -6.09 isB -6.01 isC 12.10 isD -6.09 isQ -10.45 VsD -0.87 VsQ -1.54 Vs 1.62 Vs_cita 240.92 Vs_cita_relative 240.92 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.05 pi_control 25.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.29 hall_freq 0.00 isA -5.88 isB -6.09 isC 11.97 isD -5.88 isQ -10.43 VsD -0.80 VsQ -1.49 Vs 1.66 Vs_cita 240.60 Vs_cita_relative 240.60 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.05 Ud 4.11 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.07 hall_freq 0.00 isA -5.94 isB -5.89 isC 11.82 isD -5.94 isQ -10.22 VsD -0.79 VsQ -1.42 Vs 1.65 Vs_cita 240.28 Vs_cita_relative 240.28 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.16 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.27 hall_freq 0.00 isA -6.08 isB -6.04 isC 12.12 isD -6.08 isQ -10.49 VsD -0.86 VsQ -1.53 Vs 1.64 Vs_cita 241.89 Vs_cita_relative 241.89 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.11 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.05 hall_freq 0.00 isA -6.04 isB -5.96 isC 12.00 isD -6.04 isQ -10.37 VsD 25.00 VsQ -1.52 Vs 1.64 Vs_cita 240.87 Vs_cita_relative 240.87 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.07 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.02 hall_freq 0.00 isA -6.11 isB -6.06 isC 25.00 isD -6.11 isQ -10.52 VsD -0.89 VsQ -1.57 Vs 1.63 Vs_cita 240.89 Vs_cita_relative 240.89 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.04 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.05 hall_freq 0.00 isA -5.92 isB -5.89 isC 11.80 isD -5.92 isQ -10.21 VsD -0.78 VsQ -1.39 Vs 1.65 Vs_cita 240.85 Vs_cita_relative 240.85 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.19 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.26 hall_freq 0.00 isA -6.01 isB -5.94 isC 11.95 isD -6.01 isQ -10.33 VsD -0.83 VsQ -1.48 Vs 1.65 Vs_cita 241.67 Vs_cita_relative 241.67 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.16 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.23 hall_freq 0.00 isA -6.05 isB -6.01 isC 12.06 isD -6.05 isQ -10.43 VsD -0.85 VsQ -1.52 Vs 1.65 Vs_cita 241.71 Vs_cita_relative 241.71 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.10 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.25 hall_freq 0.00 isA -6.03 isB -5.98 isC 12.01 isD -6.03 isQ -10.39 VsD -0.84 VsQ 25.00 Vs 1.66 Vs_cita 241.76 Vs_cita_relative 241.76 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.12 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.06 hall_freq 0.00 isA -6.09 isB -5.98 isC 12.07 isD -6.09 isQ -10.42 VsD -0.87 VsQ -1.52 Vs 25.00 Vs_cita 25.00 Vs_cita_relative 25.00 psisD 0.01 psisQ 25.00 psis 25.00 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.06 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.32 hall_freq 0.00 isA -6.01 isB -5.96 isC 11.97 isD -6.01 isQ -10.35 VsD -0.82 VsQ -1.47 Vs 1.65 Vs_cita 241.97 Vs_cita_relative 241.97 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.14 pi_control 0.00 pi_max 0.01
